What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,What operating system do you use the most?,Which of our sites do you frequent most?
Other Europe,25-29,Web Application Developer,SaaS,Java,JavaScript,N/A,N/A,N/A,Ruby,N/A,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,40-50,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Canada,25-29,Web Application Developer,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,ASP,Windows XP,Stack Overflow
Netherlands,25-29,Student,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,25-29,Student,Mobile,Java,N/A,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Australia,20-24,Student,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,40-50,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Germany,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Meta Stack Overflow
Other Europe,25-29,Other,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Manager of Developers or Team Leader,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
France,25-29,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Other Europe,30-34,Desktop Application Developer,Enterprise,N/A,N/A,CSS,PHP,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB.NET,Windows XP,Stack Overflow
France,25-29,Web Application Developer,SaaS,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,40-50,Desktop Application Developer,Enterprise,Java,N/A,N/A,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,Mac OS X,Server Fault
India,20-24,Student,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
South America,20-24,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,Scala and so on,Linux,Stack Overflow
United States of America,25-29,Manager of Developers or Team Leader,Enterprise,Java,N/A,N/A,PHP,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
South America,40-50,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,35-39,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,< 20,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows XP,Stack Overflow
South America,25-29,Desktop Application Developer,Other,N/A,JavaScript,N/A,N/A,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Windows XP,Programmers Stack Exchange
Other Europe,< 20,Desktop Application Developer,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,Haskell,Linux,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,35-39,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,30-34,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB.Net,Windows 7,Stack Overflow
United States of America,30-34,IT Staff / System Administrator,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Windows XP,Server Fault
United States of America,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Germany,25-29,Other,Enterprise,Java,N/A,CSS,PHP,N/A,Ruby,SQL,N/A,C++,C,N/A,N/A,N/A,Linux,Server Fault
France,30-34,Manager of Developers or Team Leader,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,51-60,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
South America,25-29,Student,Other,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,C++,C,N/A,N/A,scheme,Mac OS X,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,VB/VBScript,Windows XP,Stack Overflow
Australia,35-39,IT Staff / System Administrator,Other,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Server Fault
Canada,25-29,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Smalltalk,Windows XP,Stack Overflow
United Kingdom,30-34,Manager of Developers or Team Leader,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,25-29,Server Programmer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Italy,20-24,Student,Web Platform,N/A,N/A,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,25-29,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
France,25-29,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
United States of America,25-29,Systems Analyst,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
South America,30-34,Desktop Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,"Objective-C, GeneXus",Mac OS X,Stack Overflow
United States of America,35-39,Other,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,Applescript,Mac OS X,Stack Overflow
United States of America,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,vb.net,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Germany,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
France,40-50,Other,Web Platform,Java,JavaScript,CSS,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Student,Web Platform,Java,N/A,CSS,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,Haskell,Linux,Stack Overflow
United States of America,35-39,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
South America,25-29,Systems Analyst,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
Russia,25-29,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,30-34,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Linux,Server Fault
Other Europe,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,35-39,Desktop Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Windows XP,Stack Overflow
Netherlands,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,25-29,Manager of Developers or Team Leader,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,"html, xml",Windows XP,Stack Overflow
United States of America,25-29,Server Programmer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,40-50,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Russia,30-34,Server Programmer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
Russia,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
Other Europe,25-29,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,objective c,Mac OS X,Stack Overflow
Mexico,30-34,Server Programmer,Web Platform,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,N/A,C,N/A,N/A,bash,Linux,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Other Asia,25-29,IT Staff / System Administrator,Enterprise,Java,N/A,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Australia,30-34,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Windows XP,Stack Overflow
Other Asia,25-29,Web Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Russia,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,40-50,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Windows 7,Stack Overflow
Netherlands,35-39,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,25-29,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,Lua,Windows Vista,Stack Overflow
Australia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,40-50,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,40-50,Web Application Developer,Mobile,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
Australia,30-34,IT Manager,Enterprise,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Server Fault
Germany,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,20-24,Student,SaaS,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,25-29,Embedded Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Germany,20-24,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,"Lisp, Clojure",Linux,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Server Programmer,SaaS,Java,JavaScript,N/A,PHP,Python,N/A,SQL,C#,N/A,C,Perl,N/A,Erlang,Linux,Stack Overflow
Australia,25-29,Embedded Application Developer,SaaS,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Systems Analyst,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,Objective-C,Windows Vista,Stack Overflow
Canada,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,25-29,Other,Other,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,RPG,Windows 7,Stack Overflow
India,51-60,Desktop Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,foxpro,Windows XP,Stack Overflow
Canada,30-34,Desktop Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,Objective-C,Mac OS X,Stack Overflow
Australia,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,PHP,N/A,Ruby,SQL,C#,C++,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
United States of America,25-29,Server Programmer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,C#,N/A,C,N/A,N/A,ActionScript,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Embedded Application Developer,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,"vb.net, bash scripting",N/A,Stack Overflow
United States of America,35-39,Server Programmer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
Russia,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,Lua,Linux,Stack Overflow
Canada,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,20-24,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Super User
Other Asia,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
Australia,30-34,Student,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,Linux,Server Fault
United States of America,30-34,Web Application Developer,Enterprise,Java,N/A,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,35-39,Manager of Developers or Team Leader,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Stack Overflow
Other Europe,30-34,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,Delphi,Windows XP,Stack Overflow
United States of America,20-24,Student,Other,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,20-24,Student,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,40-50,Database Administrator,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Manager of Developers or Team Leader,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows 7,Other
United States of America,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lua,Windows XP,Stack Overflow
South America,30-34,Other,Other,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Linux,Stack Overflow
Other Asia,35-39,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Other,Web Platform,N/A,N/A,CSS,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,"VB, Objective C",Mac OS X,Stack Overflow
Australia,35-39,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,N/A,Perl,N/A,sh,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Super User
Other Asia,20-24,IT Manager,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Windows 7,Stack Overflow
Other Asia,20-24,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Canada,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
North America (Other),20-24,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,N/A
United States of America,40-50,Embedded Application Developer,Mobile,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,35-39,Desktop Application Developer,SaaS,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,Perl,N/A,progress abl,Windows 7,Stack Overflow
India,30-34,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,40-50,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Server Fault
Other Europe,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
South America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Canada,30-34,Student,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Windows 7,Super User
