What Country do you live in?,How old are you?,What is your gender?,Which of the following best describes your occupation?,Which of the following languages or technologies have you used significantly in the past year?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Which technologies are you excited about?,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Which desktop operating system do you use the most?,How do you use Stack Overflow?,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,How often do you find solutions to your programming problems on Stack Overflow without asking a new question?
Vietnam,>60,Female,Other,C,N/A,N/A,Java,N/A,Node.js,Objective-C,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,MongoDB,F#,N/A,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Fedora,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
United Kingdom,20-24,Male,Desktop Software Developer,N/A,C++,N/A,N/A,JavaScript,Node.js,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cordova,N/A,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Always
Germany,30-34,Male,Back-End Web Developer,N/A,N/A,N/A,N/A,JavaScript,Node.js,N/A,PHP,Python,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mint,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
Chile,25-29,Male,Mobile Application Developer,N/A,C++,N/A,N/A,JavaScript,Node.js,Objective-C,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Always
France,20-24,Male,Front-End Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Hadoop,N/A,N/A,N/A,Linux,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
India,20-24,Male,Front-End Web Developer,N/A,N/A,C#,Java,JavaScript,Node.js,N/A,PHP,N/A,N/A,N/A,N/A,Node.js,Haskell,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,Cordova,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
United States,25-29,Male,Desktop Software Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,VB.Net,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
France,20-24,Male,Mobile Application Developer,N/A,N/A,N/A,Java,JavaScript,N/A,Objective-C,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cordova,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
United States,51-60,Male,Embedded Application Developer,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scala,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,Go,N/A,N/A,N/A,N/A,Linux,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Often
Germany,25-29,Male,Back-End Web Developer,N/A,N/A,N/A,Java,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hadoop,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
United States,40-50,Male,Desktop Software Developer,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Often
United States,< 20,Male,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ukraine,< 20,Male,Desktop Software Developer,C,C++,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
Ukraine,25-29,Male,Front-End Web Developer,C,C++,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,CoffeeScript,N/A,C++11,N/A,N/A,F#,N/A,N/A,N/A,N/A,N/A,Debian,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Occasionally
India,35-39,Male,Back-End Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,N/A,MySql,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,N/A,Ubuntu,N/A,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,To learn by answers,Almost Always
Italy,35-39,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Finland,35-39,Male,IT Staff / System Administrator,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,Powershell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Go,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
France,25-29,Male,IT Staff / System Administrator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States,< 20,Male,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,VB,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
United Kingdom,25-29,Male,Desktop Software Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,VB.net,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Often
China,40-50,Male,Other,N/A,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
United States,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
United Kingdom,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,Haskell,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
India,20-24,Male,Other,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,"JQuery, HTML, XAML",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,Build my online reputation,N/A,Almost Always
India,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Often
United Kingdom,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,vb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
United Kingdom,35-39,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Often
Netherlands,20-24,Male,Student,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,Provide alternative solutions to a problem I have ran into myself,Almost Always
Turkey,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Ukraine,< 20,Male,Mobile Application Developer,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States,< 20,Male,Student,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,Haskell,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
United States,20-24,Male,Enterprise Level Services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,Crystal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
Portugal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Egypt,20-24,Male,Student,C,C++,C#,Java,JavaScript,N/A,N/A,N/A,Python,N/A,SQL,"Embedded C, HTML, CSS",Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,Go,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,Looking for a job,Build my online reputation,N/A,Almost Always
Brazil,< 20,Male,Mobile Application Developer,N/A,N/A,N/A,Java,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
Germany,30-34,Male,Embedded Application Developer,N/A,N/A,C#,N/A,JavaScript,Node.js,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,F#,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,Build my online reputation,N/A,Almost Always
Belgium,40-50,Male,Front-End Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Go,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
Italy,< 20,Male,Student,N/A,C++,N/A,Java,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,Cordova,Arduino / Raspberry Pi,Windows XP,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
Cambodia,>60,Male,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brazil,20-24,Male,Mobile Application Developer,C,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,SQL,as3,Node.js,Haskell,N/A,N/A,N/A,Redis,MongoDB,F#,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Mexico,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,Build my online reputation,N/A,Almost Always
Germany,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Puerto Rico,30-34,Male,Front-End Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,35-39,Female,Desktop Software Developer,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
Germany,30-34,Male,Back-End Web Developer,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hadoop,N/A,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
Switzerland,25-29,Female,Student,C,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,AngulaJS,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Often
United Kingdom,20-24,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,Ruby,SQL,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Ubuntu,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Croatia,< 20,Male,Desktop Software Developer,C,C++,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ubuntu,N/A,Ask questions to solve problems,N/A,N/A,N/A,N/A,Occasionally
Netherlands,40-50,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
France,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,Node.js,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,Build my online reputation,N/A,Almost Always
United Kingdom,40-50,Male,DevOps,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Romania,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,Haskell,CoffeeScript,N/A,N/A,Redis,MongoDB,N/A,Go,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Always
India,25-29,Male,Desktop Software Developer,C,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hadoop,N/A,N/A,N/A,Windows XP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,20-24,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VB.Net,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,< 20,Male,Student,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
India,25-29,Male,Embedded Application Developer,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
Jordan,30-34,Male,Back-End Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,35-39,Male,Other,N/A,N/A,C#,N/A,JavaScript,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,F#,Go,N/A,N/A,N/A,N/A,Windows XP,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Netherlands,< 20,Male,Back-End Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,30-34,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,51-60,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,Node.js,N/A,N/A,N/A,N/A,N/A,perl,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Hadoop,N/A,N/A,Arduino / Raspberry Pi,Windows XP,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
India,20-24,Male,Database Administrator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Czech Republic,30-34,Male,Enterprise Level Services,C,C++,C#,Java,JavaScript,N/A,N/A,PHP,Python,N/A,SQL,N/A,Node.js,Haskell,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Hadoop,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
United States,25-29,Prefer not to disclose,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,Node.js,N/A,PHP,N/A,Ruby,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,Go,Hadoop,AngularJS,Cordova,Arduino / Raspberry Pi,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,N/A,N/A,Often
United Kingdom,20-24,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,Build my online reputation,N/A,Often
United States,25-29,Male,Desktop Software Developer,N/A,C++,C#,N/A,N/A,N/A,N/A,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
United States,35-39,Male,Front-End Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,N/A,Objective-C,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,Go,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chile,< 20,Female,"Executive (VP of Eng, CTO, CIO, etc.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,30-34,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,"VBScript, JScript",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Netherlands,40-50,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
India,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Go,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Always
Germany,25-29,Male,Mobile Application Developer,N/A,N/A,N/A,Java,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Philippines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
