What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Which desktop operating system do you use the most?,Which of our sites do you frequent most?
United States of America,< 20,Embedded Application Developer,Mobile,Java,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,C++,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,SaaS,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Other Stack Exchange (please specify)
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,IT Staff / System Administrator,Other,N/A,N/A,N/A,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Bash,Linux,N/A
Other Europe,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,< 20,Manager of Developers or Team Leader,None / Unemployed,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,< 20,Web Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,N/A,C,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,< 20,Student,Mobile,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,< 20,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Learning PHP, C, C++, Java, and a few others.  So I can't say I'm proficient in any.",Windows 7,Stack Overflow
United Kingdom,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Classic-ASP,Windows 7,Server Fault
United States of America,20-24,IT Staff / System Administrator,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Super User
Other Europe,< 20,Student,None / Unemployed,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haskell,Mac OS X,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
South America,25-29,Desktop Application Developer,Other,Java,JavaScript,N/A,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Russia,30-34,Manager of Developers or Team Leader,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,20-24,Embedded Application Developer,Mobile,Java,JavaScript,N/A,N/A,N/A,Objective-C,N/A,N/A,C#,C++,C,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,N/A,Windows XP,Stack Overflow
Canada,40-50,Kernel / Driver Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Systems Analyst,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,Ruby,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,25-29,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,N/A,Objective-C,Ruby,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Italy,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,Other,Mobile,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Mobile,Java,JavaScript,CSS,PHP,N/A,Objective-C,Ruby,SQL,N/A,N/A,C,Perl,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,20-24,Student,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Manager of Developers or Team Leader,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Canada,30-34,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
France,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Matlab,Windows 7,Stack Overflow
United States of America,25-29,Systems Analyst,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,< 20,Desktop Application Developer,None / Unemployed,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,N/A,SQL,N/A,N/A,C,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
South America,20-24,Server Programmer,SaaS,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,N/A
South America,20-24,Other,Mobile,Java,JavaScript,CSS,N/A,Python,Objective-C,Ruby,SQL,C#,N/A,C,N/A,N/A,N/A,Lua,Mac OS X,Stack Overflow
Middle East,20-24,Student,None / Unemployed,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Student,Other,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,< 20,Student,None / Unemployed,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Canada,30-34,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,Python,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,35-39,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Manager of Developers or Team Leader,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,20-24,Student,None / Unemployed,Java,JavaScript,CSS,PHP,Python,Objective-C,N/A,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
South America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Asia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,IT Staff / System Administrator,None / Unemployed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows Vista,Stack Overflow
Germany,< 20,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Server Programmer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
South America,25-29,Embedded Application Developer,Other,N/A,N/A,N/A,PHP,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Delphi,Windows XP,Stack Overflow
South America,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,< 20,Student,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,N/A,Stack Overflow
Other Europe,20-24,Server Programmer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,N/A,Perl,HTML5,N/A,N/A,Mac OS X,Stack Overflow
India,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,25-29,IT Staff / System Administrator,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
France,25-29,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,Embedded Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,Mel,Mac OS X,Stack Overflow
United States of America,35-39,Server Programmer,Web Platform,N/A,N/A,N/A,PHP,Python,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
South America,25-29,I don't work in tech,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,N/A,Mac OS X,Other Stack Exchange (please specify)
Other Asia,< 20,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Middle East,20-24,Student,None / Unemployed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,30-34,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,< 20,I don't work in tech,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,20-24,IT Staff / System Administrator,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Germany,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Germany,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South America,30-34,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Netherlands,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
France,25-29,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,N/A
Other Europe,30-34,Kernel / Driver Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,Ruby,SQL,C#,C++,C,N/A,N/A,N/A,Lots,Windows 7,Stack Overflow
Australia,20-24,Student,None / Unemployed,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South America,25-29,Systems Analyst,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,20-24,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Germany,25-29,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Smalltalk,Mac OS X,Stack Overflow
Other Asia,30-34,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South America,25-29,Systems Analyst,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows 7,N/A
Other Europe,35-39,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Italy,< 20,Student,Other,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,XSLT,Windows 7,Stack Overflow
Italy,20-24,Embedded Application Developer,Mobile,N/A,N/A,N/A,PHP,N/A,Objective-C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Germany,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,N/A
Other Europe,30-34,IT Manager,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,Perl,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,< 20,Student,None / Unemployed,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,JQuery,Windows XP,Stack Overflow
India,20-24,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Web Application Developer,Web Platform,Java,JavaScript,N/A,PHP,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,25-29,Embedded Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,Web Application Developer,Web Platform,Java,N/A,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Other Europe,25-29,Embedded Application Developer,Mobile,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
India,25-29,Systems Analyst,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,None
India,25-29,Server Programmer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,N/A
Other Europe,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Manager of Developers or Team Leader,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Android SDK,Windows XP,Stack Overflow
Other Europe,25-29,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,N/A,Linux,Stack Overflow
India,20-24,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,Objective-C,N/A,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Asia,25-29,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Asia,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Italy,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,35-39,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
India,20-24,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,Objective-C,Ruby,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,20-24,Embedded Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,25-29,Manager of Developers or Team Leader,Mobile,N/A,N/A,N/A,PHP,N/A,Objective-C,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,20-24,IT Staff / System Administrator,SaaS,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
Australia,25-29,IT Staff / System Administrator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,30-34,Systems Analyst,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,30-34,Embedded Application Developer,Mobile,N/A,N/A,N/A,PHP,N/A,Objective-C,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,40-50,Embedded Application Developer,Other,Java,N/A,N/A,PHP,Python,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,"/bin/sh, lua, emacs lisp",Linux,Stack Overflow
Other Europe,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
South America,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Africa,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,Desktop Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
South America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,40-50,Manager of Developers or Team Leader,Enterprise,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Server Fault
Canada,25-29,I don't work in tech,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Linux,N/A
